"filename","download_date","year"
"CIGE3BFL.DBF","2021-07-26",1998
"CIIR3ADT.DTA","2021-07-26",1998
"CIHR3ADT.DTA","2021-07-26",1998
"CIIR51DT.DTA","2021-07-26",2005
"CIHR51DT.DTA","2021-07-26",2005
"CIGE61FL.DBF","2021-07-26",2012
"CIIR62DT.DTA","2021-07-26",2012
"CIHR62DT.DTA","2021-07-26",2012
"CDGE52FL.DBF","2021-07-26",2007
"CDIR51DT.DTA","2021-07-26",2007
"CDHR51DT.DTA","2021-07-26",2007
"CDGE61FL.DBF","2021-07-26",2013
"CDIR61DT.DTA","2021-07-26",2013
"CDHR61DT.DTA","2021-07-26",2013
"CGIR51DT.DTA","2021-07-26",2005
"CGHR51DT.DTA","2021-07-26",2005
"CGIR5ADT.DTA","2021-07-26",2009
"CGHR5ADT.DTA","2021-07-26",2009
"CGIR61DT.DTA","2021-07-26",2011
"CGHR61DT.DTA","2021-07-26",2011
"KMIR32DT.DTA","2021-07-26",1996
"KMHR32DT.DTA","2021-07-26",1996
"KMGE61FL.DBF","2021-07-26",2012
"KMIR61DT.DTA","2021-07-26",2012
"KMHR61DT.DTA","2021-07-26",2012
"COIR41DT.DTA","2021-07-26",2000
"COHR41DT.DTA","2021-07-26",2000
"COIR53DT.DTA","2021-07-26",2005
"COHR53DT.DTA","2021-07-26",2005
"COGE61FL.DBF","2021-07-26",2010
"COIR61DT.DTA","2021-07-26",2010
"COHR61DT.DTA","2021-07-26",2010
"COIR72DT.DTA","2021-07-26",2015
"COHR72DT.DTA","2021-07-26",2015
"TDIR31DT.DTA","2021-07-26",1997
"TDHR31DT.DTA","2021-07-26",1997
"TDIR41DT.DTA","2021-07-26",2004
"TDHR41DT.DTA","2021-07-26",2004
"TDGE71FL.DBF","2021-07-26",2014
"TDIR71DT.DTA","2021-07-26",2014
"TDHR71DT.DTA","2021-07-26",2014
"CMIR31DT.DTA","2021-07-26",1998
"CMHR31DT.DTA","2021-07-26",1998
"CMGE42FL.DBF","2021-07-26",2004
"CMIR44DT.DTA","2021-07-26",2004
"CMHR44DT.DTA","2021-07-26",2004
"CMGE61FL.DBF","2021-07-26",2011
"CMIR61DT.DTA","2021-07-26",2011
"CMHR61DT.DTA","2021-07-26",2011
"CMGE71FL.DBF","2021-07-26",2018
"CMIR71DT.DTA","2021-07-26",2018
"CMHR71DT.DTA","2021-07-26",2018
"KHGE43FL.DBF","2021-07-26",2000
"KHIR42DT.DTA","2021-07-26",2000
"KHHR42DT.DTA","2021-07-26",2000
"KHGE51FL.DBF","2021-07-26",2005
"KHIR51DT.DTA","2021-07-26",2005
"KHHR51DT.DTA","2021-07-26",2005
"KHGE62FL.DBF","2021-07-26",2010
"KHIR61DT.DTA","2021-07-26",2010
"KHHR61DT.DTA","2021-07-26",2010
"KHGE71FL.DBF","2021-07-26",2014
"KHIR73DT.DTA","2021-07-26",2014
"KHHR73DT.DTA","2021-07-26",2014
"BUGE61FL.DBF","2021-07-26",2010
"BUIR61DT.DTA","2021-07-26",2010
"BUHR61DT.DTA","2021-07-26",2010
"BUGE6AFL.DBF","2021-07-26",2012
"BUIR6ADT.DTA","2021-07-26",2012
"BUHR6ADT.DTA","2021-07-26",2012
"BUGE71FL.DBF","2021-07-26",2016
"BUIR71DT.DTA","2021-07-26",2016
"BUHR71DT.DTA","2021-07-26",2016
"BFGE32FL.DBF","2021-07-26",1999
"BFIR31DT.DTA","2021-07-26",1999
"BFHR31DT.DTA","2021-07-26",1999
"BFGE43FL.DBF","2021-07-26",2003
"BFIR43DT.DTA","2021-07-26",2003
"BFHR43DT.DTA","2021-07-26",2003
"BFGE61FL.DBF","2021-07-26",2010
"BFIR62DT.DTA","2021-07-26",2010
"BFHR62DT.DTA","2021-07-26",2010
"BFGE71FL.DBF","2021-07-26",2014
"BFIR71DT.DTA","2021-07-26",2014
"BFHR71DT.DTA","2021-07-26",2014
"BFGE7AFL.DBF","2021-07-26",2017
"BFIR7ADT.DTA","2021-07-26",2017
"BFHR7ADT.DTA","2021-07-26",2017
"BRIR31DT.DTA","2021-07-26",1996
"BRHR31DT.DTA","2021-07-26",1996
"BOIR3BDT.DTA","2021-07-26",1998
"BOHR3BDT.DTA","2021-07-26",1998
"BOIR41DT.DTA","2021-07-26",2003
"BOHR41DT.DTA","2021-07-26",2003
"BOGE53FL.DBF","2021-07-26",2008
"BOIR51DT.DTA","2021-07-26",2008
"BOHR51DT.DTA","2021-07-26",2008
"BJGE33FL.DBF","2021-07-26",1996
"BJIR31DT.DTA","2021-07-26",1996
"BJHR31DT.DTA","2021-07-26",1996
"BJGE42FL.DBF","2021-07-26",2001
"BJIR41DT.DTA","2021-07-26",2001
"BJHR41DT.DTA","2021-07-26",2001
"BJIR51DT.DTA","2021-07-26",2006
"BJHR51DT.DTA","2021-07-26",2006
"BJGE61FL.DBF","2021-07-26",2012
"BJIR61DT.DTA","2021-07-26",2012
"BJHR61DT.DTA","2021-07-26",2012
"BJGE71FL.DBF","2021-07-26",2017
"BJIR71DT.DTA","2021-07-26",2017
"BJHR71DT.DTA","2021-07-26",2017
"BDIR3ADT.DTA","2021-07-26",1997
"BDHR3ADT.DTA","2021-07-26",1997
"BDGE42FL.DBF","2021-07-26",2000
"BDIR41DT.DTA","2021-07-26",2000
"BDHR41DT.DTA","2021-07-26",2000
"BDGE4JFL.DBF","2021-07-26",2004
"BDIR4JDT.DTA","2021-07-26",2004
"BDHR4JDT.DTA","2021-07-26",2004
"BDGE52FL.DBF","2021-07-26",2007
"BDIR51DT.DTA","2021-07-26",2007
"BDHR51DT.DTA","2021-07-26",2007
"BDGE61FL.DBF","2021-07-26",2011
"BDIR61DT.DTA","2021-07-26",2011
"BDHR61DT.DTA","2021-07-26",2011
"BDGE71FL.DBF","2021-07-26",2014
"BDIR72DT.DTA","2021-07-26",2014
"BDHR72DT.DTA","2021-07-26",2014
"BDGE7SFL.DBF","2021-07-26",2017
"BDIR7RDT.DTA","2021-07-26",2017
"BDHR7RDT.DTA","2021-07-26",2017
"AZIR52DT.DTA","2021-07-26",2006
"AZHR52DT.DTA","2021-07-26",2006
"AMIR42DT.DTA","2021-07-26",2000
"AMHR42DT.DTA","2021-07-26",2000
"AMIR54DT.DTA","2021-07-26",2005
"AMHR54DT.DTA","2021-07-26",2005
"AMGE61FL.DBF","2021-07-26",2010
"AMIR61DT.DTA","2021-07-26",2010
"AMHR61DT.DTA","2021-07-26",2010
"AMGE71FL.DBF","2021-07-26",2016
"AMIR72DT.DTA","2021-07-26",2016
"AMHR72DT.DTA","2021-07-26",2016
"AOGE52FL.DBF","2021-07-26",2006
"AOIR51DT.DTA","2021-07-26",2006
"AOHR51DT.DTA","2021-07-26",2006
"AOGE61FL.DBF","2021-07-26",2011
"AOIR62DT.DTA","2021-07-26",2011
"AOHR62DT.DTA","2021-07-26",2011
"AOGE71FL.DBF","2021-07-26",2015
"AOIR71DT.DTA","2021-07-26",2015
"AOHR71DT.DTA","2021-07-26",2015
"ALGE51FL.DBF","2021-07-26",2008
"ALIR51DT.DTA","2021-07-26",2008
"ALHR51DT.DTA","2021-07-26",2008
"ALGE71FL.DBF","2021-07-26",2017
"ALIR71DT.DTA","2021-07-26",2017
"ALHR71DT.DTA","2021-07-26",2017
"AFIR71DT.DTA","2021-07-26",2015
"AFHR71DT.DTA","2021-07-26",2015
